headword,headword_raw,translation
ბურწკინუა,burwkinua,to sparkle
ბურწკინა,burwkina,brilliant
ბურწკინი,burwkini,brilliance
ჯღვალი,jRvali,claw
ორწკინაია,orwkinaia,sparkling
რწკინუა,rwkinua,to glitter
რწკინუა,rwkinua,to sparkle
ბაბაღუზა,babaRuza,owl
ბუასილი,buasili,hemorrhoids
დირდინი,dirdini,to bellow
დგვარდგვალუა,dgvardgvalua,to incinerate
ბუდე,bude,nest
ბუდურუა,budurua,to nest
ბურღი,burRi,butterbur
მაკვარზალაია,makvarzalaia,horse fly
ჭანჯი,Wanji,fly
ძგაძგალი,ZgaZgali,to grumble
ბახვალა,baxvala,chubby
ბიმბილი,bimbili,hay cock
გერგეზი,gergezi,giant
ბურდღა,burdRa,feather
ომანე,omane,den
ბუნდოვანი,bundovani,vague
ბუნება,buneba,nature
ბურბუშელა,burbuSela,shavings
ბურდი,burdi,straw
ბურდღინი,burdRini,to mutter
ბურთუა,burTua,playing ball
ბურთი,burTi,ball
