headword,headword_raw,translation
პურტყინი,purtyini,to mumble
ბურღუა,burRua,to drill
ბურღი,burRi,drill
ბუძგურუა,buZgurua,to shiver
ბუძგური,buZguri,thick a hair
ბურჯი,burji,of bridge pier
ბუჟუჟი,buJuJi,fuzz
ბუდინი,budini,to mumble
კვირტინა,kvirtina,sulky person
ჭყორინჯა,Wyorinja,sulky person
კვირტინი,kvirtini,to sulk
ჭყორინი,Wyorini,to sulk
ბუქურუა,buqurua,to squat down
ბუღა,buRa,bull
ტვერი,tveri,"dust, which is in the air during very hot weather conditions"
ბურში,burSi,bastard
ბუშტი,buSti,balloon
ბართვი,barTvi,bush
ბართონი,barToni,shrubbery
ბაძგარი,baZgari,smth. with a thorny surface
ბოწოწი,bowowi,thin hair
ბუხარი,buxari,fireplace
ბელენუა,belenua,to howl
ჯღაბუა,jRabua,to scribble
ბიძღინი,biZRini,to be full of conceit
ბირძღინა,birZRina,conceited
დღვირინი,dRvirini,to frown
ბუძღოლი,buZRoli,to grab
ღვარაფი,Rvarafi,"to bellow, to growl, to roar"
გვირდი,gvirdi,fistful
გვირდუა,gvirdua,to grip
მუნჭი,munWi,fist
დიდკარი,didkari,gate
მორაგადაფა,moragadafa,to discuss
გებიჯაფა,gebijafa,to lean on smth
გაადვილება,gaadvileba,to ease
გახანდარება,gaxandareba,is usually to worsen said about weather conditions
გაკაპასება,gakapaseba,to embitter
გაარზება,gaarzeba,to consider
გაყმედება,gaymedeba,to swagger
გაარშიყება,gaarSiyeba,to court
გაჸალება,gaYaleba,to rage
გაახალება,gaaxaleba,to rejuvenate (will reju
მიბარება,mibareba,to deposit
გოთოკუა,goTokua,to bind
გაბედულობა,gabeduloba,courage
გაბედული,gabeduli,courageous
გაბურჭება,gaburWeba,to become barren
გობუნაფა,gobunafa,to stretch
დოღვაფა,doRvafa,to scatter
ქვითუა,qviTua,to deduct
გურ,gur,to annoy
გობიჸვინაფა,gobiYvinafa,to fool
ტატურუა,taturua,to roll
გაჟრუება,gaJrueba,to stupefy
გოკინა,gokina,to widen
გატყარება,gatyareba,to become wild
ჸოთამა,YoTama,to expel
გაგება,gageba,to understand
გაგებინაფა,gagebinafa,to make smb. apprehend smth
გაგებიერი,gagebieri,understood
გახანგება,gaxangeba,to run mad
ხანგურო,xanguro,madly
გახანგებულო,gaxangebulo,madly
გაგონა,gagona,to hear
მორგილაფა,morgilafa,to cool
დაგინძარება,daginZareba,to continue
შქვიდაფა,Sqvidafa,to smother
გინოთირა,ginoTira,to relocate
გინობარება,ginobareba,to hand over
გინობირაფა,ginobirafa,to win smb. over
გინობიჯგაფა,ginobijgafa,to step over
მერცხუაფა,mercxuafa,to tie
მინორთინაფა,minorTinafa,to turn over
მობიჭება,mobiWeba,to degenerate
გინორინა,ginorina,to resign
გინოფუნაფა,ginofunafa,to reboil
გინორდუალა,ginorduala,to overgrow
გინოთარგუა,ginoTargua,to translate
გინორჩიალება,ginorCialeba,to whiten
გინოხვეტუა,ginoxvetua,to clear snow
გინოთიილი,ginoTiili,snowed up
გინოთქუალა,ginoTquala,to take back one's words
გინოკეთება,ginokeTeba,to alter
გინოკვათუა,ginokvaTua,to cross
გინოკირუა,ginokirua,to cover
გინობუნაფა,ginobunafa,to hang on
მიკობუნა,mikobuna,to force
გინოკითხირი,ginokiTxiri,to reread
გინოკარკაცინოკარკაცანს,ginokarkacinokarkacans,to burst out laughing
გინომოჭვაფა,ginomoWvafa,not being broody any more
გინონწკარუა,ginonwkarua,to relocate
გინოღალა,ginoRala,to overcome
გინომეტება,ginometeba,to exceed
გინომზადება,ginomzadeba,to train
მითავარია,miTavaria,stranger
გინოჸუნელი,ginoYuneli,devoted
გინოწყითორაფა,ginowyiTorafa,to put too much salt
გინონტერება,ginontereba,to become hostile
გინოხუაფა,ginoxuafa,to overturn
რანგუა,rangua,to destroy
გინორგუაფა,ginorguafa,to transplant
გინოხოკუა,ginoxokua,to shave off
გინოპეინჯება,ginopeinjeba,to invite smb. over
დოხუაფა,doxuafa,to overturn
გინოპრანჭუა,ginopranWua,to overdress
გინორულა,ginorula,to run across
დოთირუა,doTirua,to rename
გინოსხუნუა,ginosxunua,to select
გინოსკილადა,ginoskilada,to save
ოგაფური,ogafuri,tax
გინოსვანჯაფა,ginosvanjafa,to carry out
გინულა,ginula,"e.g. the road to cross, to move to"
გინოჯინა,ginojina,to re-examine
გინოხუნაფა,ginoxunafa,to make a lot of persons change the seat
გინობუნა,ginobuna,to pour out
გინოღალა,ginoRala,to transfer
გინოკიდუა,ginokidua,to partition
გინოტრიალაფა,ginotrialafa,to turn over
გინოტყაბარუა,ginotyabarua,to skin
უგნუდვალუ,ugnudvalu,urgent
გინოფასება,ginofaseba,to reevaluate
გინოთანთარელი,ginoTanTareli,pale
გინოფირქება,ginofirqeba,to change one's mind
გინოფურტინუა,ginofurtinua,to spit out
გინოფაჩუა,ginofaCua,a page to turn over turn over
გინოლაფა,ginolafa,to fall backwards
გინოღაფუა,ginoRafua,to repaint
გინოჸუნა,ginoYuna,with smb. to move move
გინორღვაფა,ginorRvafa,to throw away
გინოლაფანოლუ,ginolafanolu,to chop
გინორჩქვანა,ginorCqvana-,to become unaccustomed
გინოჩილათა,ginoCilaTa,to outstep
გინოჩამა,ginoCama,to give
გინოჭარუა,ginoWarua,to rewrite
გინოჭყვადუა,ginoWyvadua,decision
გინონწყუალა,ginonwyuala,to rearrange
ზედმეტობა,zedmetoba,to exceed
გინოზინდუა,ginozindua,to spread
გინოჭკირუა,ginoWkirua,to cut
გაახალება,gaaxaleba,to rearrange
დახარჯება,daxarjeba,to overspend
გინოხანტუა,ginoxantua,to redraw
გინოგაფა,ginogafa,to pay
გინორთალა,ginorTala,the road to turn off
გინოწიმინდუა,ginowimindua,to exile
გინორთუალა,ginorTuala,to cover
გინოხუნა,ginoxuna,to change seat
გინოკორკოლა,ginokorkola,to somersault (will
ფა,fa,make smb. somersault)
გითონწყუალა,giTonwyuala,to take out
გინორულა,ginorula,to run
გინაჯინალი,ginajinali,view
მუნოხორაფა,munoxorafa,to immigrate (will make
გინულა,ginula,to get out
გინოღალა,ginoRala,to fetch
გიმოხარგუა,gimoxargua,to take out the load
მუნორთინაფა,munorTinafa,to turn over
გიმობუნა,gimobuna,to pour out
გინოღალა,ginoRala,to take out
მოჸუნა,moYuna,to follow
გიმორღვაფა,gimorRvafa,to throw
გინოფაჩუა,ginofaCua,to spread out
გინოჯინა,ginojina,to look over
გინოხუნა,ginoxuna,to change sit
ჩხეშა,CxeSa,croup
გატყარება,gatyareba,to turn wild
გოლება,goleba,to walk
გავრცელება,gavrceleba,to spread
გაზარხული,gazarxuli,spring
გუშულირი,guSuliri,spring
ზილოკუა,zilokua,to stretch out
რდუალა,rduala,to rear
გამანგება,gamangeba,to equalize
უონჯღორე,uonjRore,"lewd, depraved"
ტიბაფა,tibafa,to heat
ჩაბახუა,Cabaxua,to trample
გოზაკუა,gozakua,to bedevil
თოკუა,Tokua,to bind
გათითხარებაითხარენს,gaTiTxarebaiTxarens,to thin
გაეფება,gaefeba,to cheapen
გაიოლება,gaioleba,to make easier
მომავალ,momaval,next year
დუდინეა,dudinea,sly
ეშმაკობა,eSmakoba,slyness
ქიმინუა,qiminua,"to make, to do"
გაპეკება,gapekeba,to become obstinate
გოჩაკვირაფა,goCakvirafa,to wonder
მიკოჭაბუა,mikoWabua,to paste
გინობუნაფა,ginobunafa,to hang
მოთხოზინი,moTxozini,to chase
გოკითხირი,gokiTxiri,to help the poor
გიმოკითხაფა,gimokiTxafa,to go out to meet smb
ლანძღუა,lanZRua,to scold
გაღარიბება,gaRaribeba,to bankrupt
გიმოკვანწუა,gimokvanwua,to beautify
გასქვამება,gasqvameba,to make smb./smth. more beautiful
ჭკადაფა,Wkadafa,to slap
ლახუა,laxua,to beat
ჩხვარუა,Cxvarua,to thrash
ეპიპინაფა,epipinafa,to fill up
ღურჭული,RurWuli,to chant
გოსირქუა,gosirqua,to lick
გოსვირინაფა,gosvirinafa,to silence
გუმაულარი,gumaulari,outgoing
მავრცელებერი,mavrceleberi,spreader
ოტიბაფალი,otibafali,heating
აწაგაწაიათ,awa-gawaiaT,intensively
აწაგაწაია,awa-gawaia,intensive
გოთინუა,goTinua,2. to fix
გამართლება,gamarTleba,to come true
გოთინილი,goTinili,"3. correct, right"
გაიოლება,gaioleba,to simplify
გუმორძგუალა,gumorZguala,to win
გამარჯობა,gamarjoba,to greet
გუმორძგუა,gumorZgua,to greet
გუმაგებელი,gumagebeli,understanding
მალწყარი,malwyari,fluid
გამეორება,gameoreba,to repeat
მოსქილადა,mosqilada,to sacrifice oneself
განდელი,gandeli,nanny
მარდუალი,marduali,nanny
გოტიბაფილი,gotibafili,warmed
გათელება,gaTeleba,to restore
გამიზეზება,gamizezeba,to aggravate
გამკაცრება,gamkacreba,to make smth. stricter
გურშენი,gurSeni,because of
გიმოკოროცხუა,gimokorocxua,to calculate
გაარგამება,gaargameba,to reveal
გითონბარუა,giTonbarua,to distend
გითოდანდუა,giTodandua,to temper
გიმოჭუალა,gimoWuala,to burn down
გიმოჸოთამა,gimoYoTama,to expel
გიმორგუალა,gimorguala,to end mourning
გიმოგონება,gimogoneba,to invent
გატაროზება,gatarozeba,to clear up
გიმოდგუმა,gimodguma,to put something out
ეკოთხოზინი,ekoTxozini,to run after
ეშარტინაფა,eSartinafa,to squeeze out
მორაჸუა,moraYua,to expel
გიმოლუაფა,gimoluafa,to swill
გიმოზოთუა,gimozoTua,to hibernate (will hiber
გიმოზარხულაფა,gimozarxulafa,to dress oneself as in summer (will dress one
ხულენს,xulens,self as in summer)
გიშაკეთება,giSakeTeba,to improve
გინობუნაფა,ginobunafa,to hang outside
გიმოკითხირი,gimokiTxiri,to ask
გიმორკება,gimorkeba,to subtract
გითონწკარუა,giTonwkarua,to put out
გიმორაგადება,gimoragadeba,to talk to
აშათება,aSaTeba,to run out of smth
გობჟინაფა,gobJinafa,to air
გამჟღავნება,gamJRavneba,to express
გიმომუშება,gimomuSeba,to earn
გიშახომაფილი,giSaxomafili,dried
გითოგორუა,giTogorua,to find out
გითოჟონუა,giToJonua,"to effuse, to percolate"
გიშანახუა,giSanaxua,to wash
გიწოღალა,giwoRala,to take
გამორკვიება,gamorkvieba,"to explain, to elucidate"
გიშაგორუა,giSagorua,to select
გიშასხუნილი,giSasxunili,distinguished
გიმარინაფალი,gimarinafali,useful
გამორსხა,gamorsxa,solution
გიმალუ,gimalu,exit
გიშაჸიდირალი,giSaYidirali,ransom
გუმორენჯი,gumorenji,useful
გიმარჩქინალი,gimarCqinali,to be shown
გიმოსვანჯაფა,gimosvanjafa,out)
გიმულა,gimula,to come out
გიმოხუნაფა,gimoxunafa,to make smb. sit outside
გამოცილება,gamocileba,to send off (will send
გამოწორება,gamoworeba,to correct
